SamleIds,Batch,Tissue
Sample_796,Batch C,Terminal Ileum
Sample_797,Batch C,Terminal Ileum
Sample_798,Batch C,Terminal Ileum
Sample_799,Batch C,Terminal Ileum
Sample_800,Batch C,Terminal Ileum
Sample_801,Batch C,Terminal Ileum
Sample_802,Batch C,Terminal Ileum
Sample_803,Batch C,Terminal Ileum
Sample_804,Batch C,Terminal Ileum
Sample_805,Batch C,Terminal Ileum
Sample_806,Batch C,Terminal Ileum
Sample_807,Batch C,Terminal Ileum
Sample_808,Batch C,Terminal Ileum
Sample_809,Batch C,Terminal Ileum
Sample_810,Batch C,Terminal Ileum
Sample_811,Batch C,Terminal Ileum
Sample_812,Batch C,Terminal Ileum
Sample_813,Batch C,Terminal Ileum
Sample_814,Batch C,Terminal Ileum
Sample_815,Batch C,Terminal Ileum
Sample_816,Batch C,Terminal Ileum
Sample_817,Batch C,Terminal Ileum
Sample_818,Batch C,Terminal Ileum
Sample_819,Batch C,Terminal Ileum
Sample_820,Batch C,Terminal Ileum
Sample_821,Batch C,Terminal Ileum
Sample_822,Batch C,Colorectal
Sample_823,Batch C,Terminal Ileum
Sample_824,Batch C,Terminal Ileum
Sample_825,Batch C,Terminal Ileum
Sample_826,Batch C,Terminal Ileum
Sample_827,Batch C,Terminal Ileum
Sample_828,Batch C,Colorectal
Sample_829,Batch C,Colorectal
Sample_830,Batch C,Colorectal
Sample_831,Batch C,Colorectal
Sample_832,Batch C,Colorectal
Sample_833,Batch C,Terminal Ileum
Sample_834,Batch C,Colorectal
Sample_835,Batch C,Terminal Ileum
Sample_836,Batch C,Terminal Ileum
Sample_837,Batch C,Terminal Ileum
Sample_838,Batch C,Terminal Ileum
Sample_839,Batch C,Terminal Ileum
Sample_840,Batch C,Colorectal
Sample_841,Batch C,Colorectal
Sample_842,Batch C,Colorectal
Sample_843,Batch C,Colorectal
Sample_844,Batch C,Colorectal
Sample_845,Batch C,Colorectal
Sample_846,Batch C,Terminal Ileum
Sample_847,Batch C,Terminal Ileum
Sample_848,Batch C,Terminal Ileum
Sample_849,Batch C,Terminal Ileum
Sample_850,Batch C,Terminal Ileum
Sample_851,Batch C,Terminal Ileum
Sample_852,Batch C,Terminal Ileum
Sample_853,Batch C,Terminal Ileum
Sample_854,Batch C,Terminal Ileum
Sample_855,Batch C,Terminal Ileum
Sample_856,Batch C,Terminal Ileum
Sample_857,Batch C,Terminal Ileum
Sample_858,Batch C,Terminal Ileum
Sample_859,Batch C,Terminal Ileum
Sample_860,Batch C,Terminal Ileum
Sample_861,Batch C,Terminal Ileum
Sample_862,Batch C,Terminal Ileum
Sample_863,Batch C,Terminal Ileum
Sample_864,Batch C,Terminal Ileum
Sample_865,Batch C,Terminal Ileum
Sample_866,Batch C,Colorectal
Sample_867,Batch C,Colorectal
Sample_868,Batch C,Colorectal
Sample_869,Batch C,Terminal Ileum
Sample_870,Batch C,Terminal Ileum
Sample_871,Batch C,Colorectal
Sample_872,Batch C,Terminal Ileum
Sample_873,Batch C,Colorectal
Sample_874,Batch C,Colorectal
Sample_875,Batch C,Colorectal
Sample_876,Batch C,Colorectal
Sample_877,Batch C,Colorectal
Sample_878,Batch C,Colorectal
Sample_879,Batch C,Terminal Ileum
Sample_880,Batch C,Colorectal
Sample_881,Batch C,Terminal Ileum
Sample_882,Batch C,Colorectal
Sample_883,Batch C,Colorectal
Sample_884,Batch C,Colorectal
Sample_885,Batch C,Colorectal
Sample_886,Batch C,Colorectal
Sample_887,Batch C,Colorectal
Sample_888,Batch C,Colorectal
Sample_889,Batch C,Colorectal
Sample_890,Batch C,Colorectal
Sample_891,Batch C,Colorectal
Sample_892,Batch C,Colorectal
Sample_893,Batch C,Colorectal
Sample_894,Batch C,Colorectal
Sample_895,Batch C,Colorectal
Sample_896,Batch C,Colorectal
Sample_897,Batch C,Colorectal
Sample_898,Batch C,Colorectal
Sample_899,Batch C,Colorectal
Sample_900,Batch C,Colorectal
Sample_901,Batch C,Colorectal
Sample_902,Batch C,Colorectal
Sample_903,Batch C,Colorectal
Sample_904,Batch C,Colorectal
Sample_905,Batch C,Colorectal
Sample_906,Batch C,Colorectal
Sample_907,Batch C,Colorectal
Sample_908,Batch C,Colorectal
Sample_909,Batch C,Colorectal
Sample_910,Batch C,Colorectal
Sample_911,Batch C,Colorectal
Sample_912,Batch C,Colorectal
Sample_913,Batch C,Colorectal
Sample_914,Batch C,Colorectal
Sample_915,Batch C,Colorectal
Sample_916,Batch C,Colorectal
Sample_917,Batch C,Colorectal
Sample_919,Batch C,Colorectal
Sample_920,Batch C,Colorectal
Sample_921,Batch C,Colorectal
Sample_922,Batch C,Colorectal
Sample_923,Batch C,Colorectal
Sample_924,Batch C,Colorectal
Sample_925,Batch C,Colorectal
Sample_926,Batch C,Colorectal
Sample_927,Batch C,Colorectal
Sample_928,Batch C,Colorectal
Sample_929,Batch C,Colorectal
Sample_930,Batch C,Colorectal
Sample_931,Batch C,Colorectal
Sample_932,Batch C,Colorectal
Sample_933,Batch C,Colorectal
Sample_934,Batch C,Colorectal
Sample_935,Batch C,Colorectal
Sample_936,Batch C,Colorectal
Sample_937,Batch C,Colorectal
Sample_938,Batch C,Colorectal
Sample_939,Batch C,Colorectal
Sample_940,Batch C,Colorectal
Sample_941,Batch C,Colorectal
Sample_942,Batch C,Colorectal
Sample_943,Batch C,Colorectal
Sample_944,Batch C,Colorectal
Sample_945,Batch C,Colorectal
Sample_946,Batch C,Colorectal
Sample_947,Batch C,Colorectal
Sample_948,Batch C,Colorectal
Sample_949,Batch C,Colorectal
Sample_950,Batch C,Colorectal
Sample_951,Batch C,Colorectal
Sample_952,Batch C,Colorectal
Sample_953,Batch C,Colorectal
Sample_954,Batch C,Colorectal
Sample_955,Batch C,Colorectal
Sample_956,Batch C,Colorectal
Sample_957,Batch C,Colorectal
Sample_958,Batch C,Colorectal
Sample_959,Batch C,Colorectal
Sample_960,Batch C,Colorectal
Sample_961,Batch C,Colorectal
Sample_962,Batch C,Colorectal
Sample_963,Batch C,Colorectal
Sample_964,Batch C,Colorectal
Sample_965,Batch C,Colorectal
Sample_952,Batch C,Colorectal
Sample_967,Batch C,Colorectal
Sample_968,Batch C,Colorectal
Sample_969,Batch C,Colorectal
Sample_970,Batch C,Colorectal
Sample_971,Batch C,Colorectal
Sample_972,Batch C,Colorectal
Sample_974,Batch C,Colorectal
Sample_975,Batch C,Colorectal
Sample_976,Batch C,Colorectal
Sample_977,Batch C,Colorectal
Sample_978,Batch C,Colorectal
Sample_979,Batch C,Colorectal
Sample_980,Batch C,Colorectal
Sample_981,Batch C,Colorectal
Sample_982,Batch C,Colorectal
Sample_983,Batch C,Colorectal
Sample_984,Batch C,Colorectal
Sample_985,Batch C,Colorectal
Sample_986,Batch C,Colorectal
Sample_987,Batch C,Colorectal
Sample_988,Batch C,Colorectal
Sample_989,Batch C,Colorectal
